ID,Date,Location,Police District,Police Station,Police,News,Journalists' Notes,Task Force Detainees of the Philippines,RiseUp for Life and Rights,Balay Rehabilitation Center,CCT-DRK Research,Redemptorist Social Mission,Funeral Parlor,Bishop of Caloocan,Philippine Human Rights Information Center,Commission on Human Rights,Assailant
694,May-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
696,May-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,1.0,,1.0,0.0,0.0,Police
697,May-2017,Caloocan,NPD,PS-1,0,0,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
698,May-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,1,1.0,1.0,,0.0,1.0,0.0,Police
699,May-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
701,May-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1,1.0,0.0,,1.0,0.0,0.0,Police
702,May-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
707,May-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
723,Jun-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
730,Jun-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1,1.0,0.0,,1.0,0.0,0.0,Police
731,Jun-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
732,Jun-2017,Caloocan,NPD,PS-1,0,1,1.0,0.0,0.0,0,1.0,1.0,,1.0,0.0,0.0,Police
733,Jun-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1,1.0,0.0,,1.0,0.0,0.0,Police
734,Jun-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1,1.0,0.0,,1.0,0.0,0.0,Police
735,Jun-2017,Caloocan,NPD,PS-1,0,0,1.0,0.0,0.0,0,1.0,1.0,,1.0,0.0,0.0,Police
737,Jun-2017,Caloocan,NPD,PS-1,0,1,1.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
739,Jun-2017,Caloocan,NPD,PS-1,0,0,1.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
