ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Philippine Human Rights Information Center,Task for Detainees of the Philippines ,RiseUp for Life and Rights,Parishes,CCT-DRK Research,Barangay Holy Spirit Public Safety Office,Assailant
388,Oct-2016,Quezon City,QCPD,PS 09 Quirino,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
389,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
390,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
391,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
392,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
397,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
402,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,0,0.0,Unidentified
403,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
404,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
405,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
408,Jul-2016,Quezon City,QCPD,PS 06 Batasan,1,1,,,,0.0,0.0,1,0.0,Unidentified
409,Jul-2016,Quezon City,QCPD,PS 06 Batasan,1,1,,,,0.0,0.0,1,0.0,Unidentified
412,Jul-2016,Quezon City,QCPD,PS 06 Batasan,1,1,,,,0.0,0.0,0,0.0,Unidentified
413,Jul-2016,Quezon City,QCPD,PS 10 Kamuning,1,0,,,,0.0,0.0,0,0.0,Unidentified
414,Jul-2016,Quezon City,QCPD,PS 06 Batasan,1,1,,,,1.0,1.0,1,,Unidentified
416,Jul-2016,Quezon City,QCPD,PS 02 Masambong,1,1,,,,,,0,,Unidentified
417,Jul-2016,Quezon City,QCPD,PS 02 Masambong,1,1,,,,,,0,,Unidentified
421,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
429,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,,,,0.0,0.0,1,0.0,Unidentified
430,Aug-2016,Quezon City,QCPD,PS 09 Quirino,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
431,Aug-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
432,Aug-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
433,Aug-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
434,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,,,,0.0,0.0,0,0.0,Unidentified
439,Jul-2016,Quezon City,QCPD,PS 06 Batasan,0,1,,,,0.0,0.0,1,0.0,Unidentified
440,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,1.0,0.0,1.0,1,1.0,Unidentified
443,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,1.0,1.0,1,0.0,Unidentified
444,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
445,Feb-2017,Quezon City,QCPD,PS 06 Batasan,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
446,Feb-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
447,Feb-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,1.0,Unidentified
448,Mar-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,1,1.0,Unidentified
449,Mar-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,1.0,0.0,1.0,1,1.0,Unidentified
450,Mar-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,1,1.0,Unidentified
451,Mar-2017,Quezon City,QCPD,PS 03 Talipapa,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
452,Mar-2017,Quezon City,QCPD,PS 03 Talipapa,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
453,Mar-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
454,Apr-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
455,Apr-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
457,Apr-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
458,Apr-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,1,1.0,Unidentified
459,Apr-2017,Quezon City,QCPD,PS 02 Masambong,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
