ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Police Reports Submitted to the House of Representatives,Task Force Detainees of the Philippines,Philippine Human Rights Information Center,RiseUp for Life and Rights,CCT-DRK Research,Parishes,Assailant
222,Oct-2016,Manila,MPD,PS-5 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
223,Oct-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
224,Oct-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
225,Oct-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
226,Oct-2016,Manila,MPD,PS-1 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
227,Oct-2016,Manila,MPD,PS-1 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
228,Oct-2016,Manila,MPD,PS-1 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
229,Oct-2016,Manila,MPD,PS-1 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
230,Oct-2016,Manila,MPD,PS-10 ,1,1,0.0,,0.0,,,1,0.0,Police
231,Oct-2016,Manila,MPD,PS-7 ,1,1,0.0,,0.0,,,1,0.0,Police
232,Oct-2016,Manila,MPD,PS-7 ,1,1,0.0,,0.0,,,1,0.0,Police
233,Oct-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
234,Oct-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,0,0.0,Police
235,Oct-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,0,0.0,Police
236,Sep-2016,Manila,MPD,PS-2 ,1,0,0.0,,0.0,,,0,0.0,Police
237,Sep-2016,Manila,MPD,PS-6 ,1,0,0.0,,0.0,,,0,0.0,Police
238,Sep-2016,Manila,MPD,PS-4 ,1,1,0.0,,0.0,,,0,0.0,Police
239,Sep-2016,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,,1,0.0,Police
240,Sep-2016,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,,1,0.0,Police
241,Sep-2016,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,,0,0.0,Police
242,Sep-2016,Manila,MPD,PS-2 ,1,1,0.0,,0.0,,,0,0.0,Police
243,Sep-2016,Manila,MPD,PS-2 ,1,1,0.0,,0.0,,,0,0.0,Police
244,Sep-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,0,0.0,Police
245,Sep-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
246,Sep-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
247,Sep-2016,Manila,MPD,PS-2 ,1,1,0.0,,0.0,,,0,0.0,Police
248,Sep-2016,Manila,MPD,PS-7 ,1,1,0.0,,0.0,,,0,0.0,Police
249,Sep-2016,Manila,MPD,PS-7 ,1,1,0.0,,0.0,,,0,0.0,Police
250,Sep-2016,Manila,MPD,PS-5 ,1,0,0.0,,0.0,,,0,0.0,Police
251,Sep-2016,Manila,MPD,PS-2 ,1,0,0.0,,0.0,,,0,0.0,Police
252,Sep-2016,Manila,MPD,PS-10 ,1,1,0.0,,0.0,,,1,0.0,Police
